DLL ID,Authorized Name,Variant Names,Latin,Text
A1868,"Herryson, Joannes","Herryson, Joannes floruit=15th Century A.D. | Joannes Herryson | John Herryson | Heryyson, Joannes floruit=15th Century A.D. | Herryson, xoannes floruit=15th Century A.D. | John Herryson | Herryson, Joannes floruit=15th Century A.D. | Joannes Herryson",1,"A1868 | Herryson, Joannes | Herryson, Joannes floruit=15th Century A.D. | Joannes Herryson | John Herryson | Heryyson, Joannes floruit=15th Century A.D. | Herryson, xoannes floruit=15th Century A.D. | John Herryson | Herryson, Joannes floruit=15th Century A.D. | Joannes Herryson | 1"
A1870,"Stratford, John, -1348","Johannes Stratford | John Stratford | John Stratford, 1275?-1348 | Stratford, Johannes ca. 1275-1348 | Stratford, John ca 1275-1348 | Stratford, John, m. 1348 | Stratford, Johannes ca. 1275-1348 | Johannes Stratford | Stratford, John ca 1275-1348 | John Stratford, 1275?-1348 | John Stratford | Stratford, John, m. 1348",1,"A1870 | Stratford, John, -1348 | Johannes Stratford | John Stratford | John Stratford, 1275?-1348 | Stratford, Johannes ca. 1275-1348 | Stratford, John ca 1275-1348 | Stratford, John, m. 1348 | Stratford, Johannes ca. 1275-1348 | Johannes Stratford | Stratford, John ca 1275-1348 | John Stratford, 1275?-1348 | John Stratford | Stratford, John, m. 1348 | 1"
A2181,"Nicomachus, of Gerasa","Nicòmac, de Gerasa, actiu segle I | Nicomachus, of Gerasa | Nicòmac, de Gerasa, actiz segle I | Nicòmac, de Gerasa, actiu segle I | Nicòmac, dn Gerasa, actiu segle I | Nicòmac, de Gerasz, actiu segle I | Nicòmac, de Gerasa, pctiu segle I | Nicomachus, of Gerasa",1,"A2181 | Nicomachus, of Gerasa | Nicòmac, de Gerasa, actiu segle I | Nicomachus, of Gerasa | Nicòmac, de Gerasa, actiz segle I | Nicòmac, de Gerasa, actiu segle I | Nicòmac, dn Gerasa, actiu segle I | Nicòmac, de Gerasz, actiu segle I | Nicòmac, de Gerasa, pctiu segle I | Nicomachus, of Gerasa | 1"
A2491,"Anaritius, -approximately 922","Abū al-ʿAbbās al-Faḍl ibn Ḥātim Nayrīzī | Abū'l-'Abbās al Fadl ibn Hātim al-Nayrīzī (865-około 922). | Al-Nayrïzï, Al-Fadl b. Hätim | Anaritius | Anaritius, d. ca 922 | Anaritius, m. c. 922 | Nairīzī, al-Faḍl Ibn-Ḥātim an- -922 | Nayrīzī, Abūʾl ʾAbbās al-Faḍl ibn Ḥātim, 865-922 | Nayrīzī, al-Faḍl b. Ḥātim al- (Abū al-ʿAbbās al-Faḍl b. Ḥātim), ca. 897-922 | Nayrīzī, al-Faḍl ibn Ḥātim Abū al-ʿAbbās al-, 0897-0922 | Nayrīzī, al-Fadl Ibn-Hatim an Abu al-Abbas al (ca 897-ca 922)",1,"A2491 | Anaritius, -approximately 922 | Abū al-ʿAbbās al-Faḍl ibn Ḥātim Nayrīzī | Abū'l-'Abbās al Fadl ibn Hātim al-Nayrīzī (865-około 922). | Al-Nayrïzï, Al-Fadl b. Hätim | Anaritius | Anaritius, d. ca 922 | Anaritius, m. c. 922 | Nairīzī, al-Faḍl Ibn-Ḥātim an- -922 | Nayrīzī, Abūʾl ʾAbbās al-Faḍl ibn Ḥātim, 865-922 | Nayrīzī, al-Faḍl b. Ḥātim al- (Abū al-ʿAbbās al-Faḍl b. Ḥātim), ca. 897-922 | Nayrīzī, al-Faḍl ibn Ḥātim Abū al-ʿAbbās al-, 0897-0922 | Nayrīzī, al-Fadl Ibn-Hatim an Abu al-Abbas al (ca 897-ca 922) | 1"
A2492,"Strecker, Karl, 1861-1945","Karl Strecker | Strecker, Karl | Strecker, Karl, 1861-1945 | Strecker, Karl, 1861-1945. | Strecker, Karl, 1861-1945. | Karl Strecker | Strecker, Karl, 1861-1945 | Strecker, Karl",1,"A2492 | Strecker, Karl, 1861-1945 | Karl Strecker | Strecker, Karl | Strecker, Karl, 1861-1945 | Strecker, Karl, 1861-1945. | Strecker, Karl, 1861-1945. | Karl Strecker | Strecker, Karl, 1861-1945 | Strecker, Karl | 1"
A2493,"Simon, Johann Georg, approximately 1636-1696","Johann Georg Simon | Simon, Johann Georg | Simon, Johann Georg ca. 1636-1696 | Simon, Johann Georg, 1636-1696 | Simon, Johann Georg, 1636-1696 | Simon, Johann Georg ca. 1636-1696 | Simon, Johann Georg | Johann Georg Simon",1,"A2493 | Simon, Johann Georg, approximately 1636-1696 | Johann Georg Simon | Simon, Johann Georg | Simon, Johann Georg ca. 1636-1696 | Simon, Johann Georg, 1636-1696 | Simon, Johann Georg, 1636-1696 | Simon, Johann Georg ca. 1636-1696 | Simon, Johann Georg | Johann Georg Simon | 1"
A2494,"Komarek, Giovanni Giacomo, 1648-1706","Giovanni Giacomo Komarek | Komarek, Giovanni Giacomo | Komarek, Giovanni Giacomo 1650-1705 | Komarek, Giovanni Giacomo, 16..-17.., libraire | Komarek, Giovanni Giacomo, fl. 1688-1712 | Komárek, Jan Jakub, asi 1650-1706 | Komarek, Johann Jacob 1650c-1706 | Komarek, Johann Jacob.",1,"A2494 | Komarek, Giovanni Giacomo, 1648-1706 | Giovanni Giacomo Komarek | Komarek, Giovanni Giacomo | Komarek, Giovanni Giacomo 1650-1705 | Komarek, Giovanni Giacomo, 16..-17.., libraire | Komarek, Giovanni Giacomo, fl. 1688-1712 | Komárek, Jan Jakub, asi 1650-1706 | Komarek, Johann Jacob 1650c-1706 | Komarek, Johann Jacob. | 1"
A2495,"Préchac, François","François Préchac agrégé des lettres, membre de l'École française de Rome (1906-1908) | Pr©♭chac, Fran©ʹois, 1881-1977 | Préchac, François | Préchac, François, 1881- | Préchac, François, 1881-1977 | Préchac, François. | François Préchac agrégé des lettres, membre de l'École française de Rome (1906-1908) | Préchac, François. | Préchac, François, 1881-1977 | Préchac, François, 1881- | Préchac, François | Pr©♭chac, Fran©ʹois, 1881-1977",1,"A2495 | Préchac, François | François Préchac agrégé des lettres, membre de l'École française de Rome (1906-1908) | Pr©♭chac, Fran©ʹois, 1881-1977 | Préchac, François | Préchac, François, 1881- | Préchac, François, 1881-1977 | Préchac, François. | François Préchac agrégé des lettres, membre de l'École française de Rome (1906-1908) | Préchac, François. | Préchac, François, 1881-1977 | Préchac, François, 1881- | Préchac, François | Pr©♭chac, Fran©ʹois, 1881-1977 | 1"
A2508,"Ignatios, the Deacon, approximately 775-approximately 848","Ignace 0775?-08.. métropolite de Nicée | Ignatios ca. 775-ca. 848 the Deacon | Ignatios Diakonos, asi 775-asi 848 | Ignatios, diakon, ca 775-ca 848 | Ignatios, the Deacon, ca. 775-ca. 848 | Ignatius Diaconus biskop av Nicaea | Ignatius Diaconus. | Ignatius, Diaconus Constantinopolitanus | Ignatius, Diaconus, Archbishop of Nicaea, 9th century",1,"A2508 | Ignatios, the Deacon, approximately 775-approximately 848 | Ignace 0775?-08.. métropolite de Nicée | Ignatios ca. 775-ca. 848 the Deacon | Ignatios Diakonos, asi 775-asi 848 | Ignatios, diakon, ca 775-ca 848 | Ignatios, the Deacon, ca. 775-ca. 848 | Ignatius Diaconus biskop av Nicaea | Ignatius Diaconus. | Ignatius, Diaconus Constantinopolitanus | Ignatius, Diaconus, Archbishop of Nicaea, 9th century | 1"
A2755,Alberico da Marcellise,"Alberico da Marcellise, 1340-1398 | Alberico da Marceulise, 1340-1398 | rlberict da Marcellise, 1340-1398 | Albericq df Marcellise, 1340-1398 | Albsrico da Marcellise, 1340-1398 | Alberico da Marcellise, 1340-1398 | Albeiico da farcellise, 1340-1398 | Alberico ga Marcellise, 1340-1398",1,"A2755 | Alberico da Marcellise | Alberico da Marcellise, 1340-1398 | Alberico da Marceulise, 1340-1398 | rlberict da Marcellise, 1340-1398 | Albericq df Marcellise, 1340-1398 | Albsrico da Marcellise, 1340-1398 | Alberico da Marcellise, 1340-1398 | Albeiico da farcellise, 1340-1398 | Alberico ga Marcellise, 1340-1398 | 1"
A2868,"Aquilius Niger, Quintus","Aquilius Niger, Quintus | Quintus Aquilius Niger | Aquilius Niger, puintus | Aquilibl Niger, Quintus | Aquilius Niger, Quintus | Quintus Aquilius Niger | Aquilius Niqer, Quxntus | Aquilbus Nimer, Quintus",1,"A2868 | Aquilius Niger, Quintus | Aquilius Niger, Quintus | Quintus Aquilius Niger | Aquilius Niger, puintus | Aquilibl Niger, Quintus | Aquilius Niger, Quintus | Quintus Aquilius Niger | Aquilius Niqer, Quxntus | Aquilbus Nimer, Quintus | 1"
A2870,Salvius Julianus,"Julianus, Salvius | Lucius Octavius Cornelius Publius Salvius Iulianus Aemilianus | Salvio Juliano | Salvius Iulianus | Salvius Iulianus Aemilianus, Lucius Octavius ca. 2. Jh. | Salvius Julianus, 0100?-0169? | Julianus, Salvius | Salvius Iulianus | Lucius Octavius Cornelius Publius Salvius Iulianus Aemilianus | Salvius Julianus, 0100?-0169? | Salvio Juliano | Salvius Iulianus Aemilianus, Lucius Octavius ca. 2. Jh.",1,"A2870 | Salvius Julianus | Julianus, Salvius | Lucius Octavius Cornelius Publius Salvius Iulianus Aemilianus | Salvio Juliano | Salvius Iulianus | Salvius Iulianus Aemilianus, Lucius Octavius ca. 2. Jh. | Salvius Julianus, 0100?-0169? | Julianus, Salvius | Salvius Iulianus | Lucius Octavius Cornelius Publius Salvius Iulianus Aemilianus | Salvius Julianus, 0100?-0169? | Salvio Juliano | Salvius Iulianus Aemilianus, Lucius Octavius ca. 2. Jh. | 1"
A2871,"Marcellus, Marcus Claudius, -45 B.C.","M. Claudius M.f.M.n. Marcellus | Marcellus, Marcus Claudius, ?-45 e.Kr. | Marcellus, Marcus Claudius, m. 45 av. J.-C. | Marcus Claudius Marcellus | Marcellus, Marcus Claudius, m. 45 av. J.-C. | Marcus Claudius Marcellus | Marcellus, Marcus Claudius, ?-45 e.Kr. | M. Claudius M.f.M.n. Marcellus",1,"A2871 | Marcellus, Marcus Claudius, -45 B.C. | M. Claudius M.f.M.n. Marcellus | Marcellus, Marcus Claudius, ?-45 e.Kr. | Marcellus, Marcus Claudius, m. 45 av. J.-C. | Marcus Claudius Marcellus | Marcellus, Marcus Claudius, m. 45 av. J.-C. | Marcus Claudius Marcellus | Marcellus, Marcus Claudius, ?-45 e.Kr. | M. Claudius M.f.M.n. Marcellus | 1"
A2872,"Lentulus Spinther, Publius Cornelius, born c. 43 B.C.","Lentulus Spinther, Publius Cornelius ca. v43 | Lentulus Spinther, Publius Cornelius, born c. 43 B.C. | Publius Cornelius Lentulus Spinther | Lentulus Spinther, Pjblius Cornelius ca. v43 | Publius Cornelius Lentulus Spinther | Lentulus Spinther, Publius Ckrnelius ca. v43 | Lentulus Spinther, Publius Cornelius ca. v43 | Lentulus Spinther, Publius Cornelius, born c. 43 B.C.",1,"A2872 | Lentulus Spinther, Publius Cornelius, born c. 43 B.C. | Lentulus Spinther, Publius Cornelius ca. v43 | Lentulus Spinther, Publius Cornelius, born c. 43 B.C. | Publius Cornelius Lentulus Spinther | Lentulus Spinther, Pjblius Cornelius ca. v43 | Publius Cornelius Lentulus Spinther | Lentulus Spinther, Publius Ckrnelius ca. v43 | Lentulus Spinther, Publius Cornelius ca. v43 | Lentulus Spinther, Publius Cornelius, born c. 43 B.C. | 1"
A2873,"Saturninus, Claudius, active 2nd century A.D.","Saturninus, Claudius | Saturninus, Claudius 2. Jh. | Saturninus, Claudius, active 2nd century A.D. | Satdrninus, Claudius, active 2nd century A.D. | Saturninus, Claudius, active 2nz century A.D. | Saturninus, Claudius, active 2nd century A.D. | Saturninus, Claudius | Saturninus, Claudius 2. Jh.",1,"A2873 | Saturninus, Claudius, active 2nd century A.D. | Saturninus, Claudius | Saturninus, Claudius 2. Jh. | Saturninus, Claudius, active 2nd century A.D. | Satdrninus, Claudius, active 2nd century A.D. | Saturninus, Claudius, active 2nz century A.D. | Saturninus, Claudius, active 2nd century A.D. | Saturninus, Claudius | Saturninus, Claudius 2. Jh. | 1"
A2874,"Metellus, Quintus Caecilius Nepos, -56","Metellus, Quintus Caecilius Nepos -v56 | Metellus, Quintus Caecilius Nepos, -56 | Nepos | Quintus Caecilius Nepos Metellus | Metellus, Quintus Caecilius Nepos, -56 | Quintus Caecilius Nepos Metellus | Nepos | Metellus, Quintus Caecilius Nepos -v56",1,"A2874 | Metellus, Quintus Caecilius Nepos, -56 | Metellus, Quintus Caecilius Nepos -v56 | Metellus, Quintus Caecilius Nepos, -56 | Nepos | Quintus Caecilius Nepos Metellus | Metellus, Quintus Caecilius Nepos, -56 | Quintus Caecilius Nepos Metellus | Nepos | Metellus, Quintus Caecilius Nepos -v56 | 1"
A2875,"Metellus Celer, Q. Caecilius",Quintus Caecilius Metellus Celer | Quintls Caecilius Metelmus Celer | Quintus Caecilius Metellus Celgb | Quintus Caeciluua Metellus Celer | zuintus Caecilius Metellvs Celer | Quintus Caecilits Metellus Celer | Quintus Caecilius Metellus Celer | Quqntus Caecilius Metellus Celer,1,"A2875 | Metellus Celer, Q. Caecilius | Quintus Caecilius Metellus Celer | Quintls Caecilius Metelmus Celer | Quintus Caecilius Metellus Celgb | Quintus Caeciluua Metellus Celer | zuintus Caecilius Metellvs Celer | Quintus Caecilits Metellus Celer | Quintus Caecilius Metellus Celer | Quqntus Caecilius Metellus Celer | 1"
A2876,"Papirius Iustus, active 2nd century A.D.","Papirius Iustus | Papirius Iustus 2. Jh. | Papirius Iustus, active 2nd century A.D. | Papirius, Iustus | Papirius, Iustus, sec. II | Papirius, Iustus | Papirius Iustus, active 2nd century A.D. | Papirius, Iustus, sec. II | Papirius Iustus | Papirius Iustus 2. Jh.",1,"A2876 | Papirius Iustus, active 2nd century A.D. | Papirius Iustus | Papirius Iustus 2. Jh. | Papirius Iustus, active 2nd century A.D. | Papirius, Iustus | Papirius, Iustus, sec. II | Papirius, Iustus | Papirius Iustus, active 2nd century A.D. | Papirius, Iustus, sec. II | Papirius Iustus | Papirius Iustus 2. Jh. | 1"
A2877,"Mauricianus, Iunius, active 2nd century A.D.","Mauricianus, Iunius 2. Jh. | Mauricianus, Iunius, active 2nd century A.D. | Mauricianus, Iunius, dctive 2nd century A.D. | Mauricianus, Iunius, active 2nd century A.D. | Mauricianus, Iunius, active 2nd centwry A.D. | Mauricianus, Iunius 2. Jh. | Mauricianus, Iunius, active 2nd century c.D. | Mauricirnus, Iucius, active 2nd century A.D.",1,"A2877 | Mauricianus, Iunius, active 2nd century A.D. | Mauricianus, Iunius 2. Jh. | Mauricianus, Iunius, active 2nd century A.D. | Mauricianus, Iunius, dctive 2nd century A.D. | Mauricianus, Iunius, active 2nd century A.D. | Mauricianus, Iunius, active 2nd centwry A.D. | Mauricianus, Iunius 2. Jh. | Mauricianus, Iunius, active 2nd century c.D. | Mauricirnus, Iucius, active 2nd century A.D. | 1"
A2878,"Lucceius, Lucius, active 1st century A.D.","Lucceius, Lucius v1. Jh. | Lucceius, Lucius, active 1st century A.D. | Lucius Lucceius | Lucius Lucceius Quinti filius | Lucceius, Lucius, active 1st century A.D. | Lucius Lucceius Quinti filius | Lucceius, Lucius v1. Jh. | Lucius Lucceius",1,"A2878 | Lucceius, Lucius, active 1st century A.D. | Lucceius, Lucius v1. Jh. | Lucceius, Lucius, active 1st century A.D. | Lucius Lucceius | Lucius Lucceius Quinti filius | Lucceius, Lucius, active 1st century A.D. | Lucius Lucceius Quinti filius | Lucceius, Lucius v1. Jh. | Lucius Lucceius | 1"
A2879,"Festus, Pescennius","Festus, Pescennius | Festus, Pesfennius | Festus, Pescebnius | Festus, Pescennius | Festws, Pescednius | Fertus, Pescennius | Festus, Pesuennius | Festus, eescenniys",1,"A2879 | Festus, Pescennius | Festus, Pescennius | Festus, Pesfennius | Festus, Pescebnius | Festus, Pescennius | Festws, Pescednius | Fertus, Pescennius | Festus, Pesuennius | Festus, eescenniys | 1"
A2880,"Valerianus, Cornelius","Valerius, Cornelius | Valeaius, Cornelpus | Valerius, Czroelius | Valerius, Cooneliss | Valerius, Ctrnelius | Valerius, Cornelius | Vaperius, Cornelius | Valecius, rornelius",1,"A2880 | Valerianus, Cornelius | Valerius, Cornelius | Valeaius, Cornelpus | Valerius, Czroelius | Valerius, Cooneliss | Valerius, Ctrnelius | Valerius, Cornelius | Vaperius, Cornelius | Valecius, rornelius | 1"
A2881,Sextius Niger,"Sextius Niger 10-40 | Sextius Niger, f. 10-40 | Sextiua Niger 10-40 | Sextzus Niger 10-40 | Sextius Niger, f. 10-40 | Sextiuq Niger 10-40 | Sextius Niger 10-40 | yextius Niser 10-40",1,"A2881 | Sextius Niger | Sextius Niger 10-40 | Sextius Niger, f. 10-40 | Sextiua Niger 10-40 | Sextzus Niger 10-40 | Sextius Niger, f. 10-40 | Sextiuq Niger 10-40 | Sextius Niger 10-40 | yextius Niser 10-40 | 1"
A2882,"Servilius Nonianus, Marcus, 1st Century A.D.","Nonianus | Servilius Nonianus, Marcus -59 | Servilius Nonianus, Marcus 1. Jh. n. Chr | Servilius Nonianus, Marcus, 1st Century A.D. | Servilius Nonianus, Marcus, 1st Century A.D. | Servilius Nonianus, Marcus 1. Jh. n. Chr | Servilius Nonianus, Marcus -59 | Nonianus",1,"A2882 | Servilius Nonianus, Marcus, 1st Century A.D. | Nonianus | Servilius Nonianus, Marcus -59 | Servilius Nonianus, Marcus 1. Jh. n. Chr | Servilius Nonianus, Marcus, 1st Century A.D. | Servilius Nonianus, Marcus, 1st Century A.D. | Servilius Nonianus, Marcus 1. Jh. n. Chr | Servilius Nonianus, Marcus -59 | Nonianus | 1"
A2883,Aelius Sabinus,Aelius Sabinus ca. Ende 3. Jh. | Aelius Sabinus ca. Ende 3. lh. | Awlius Sabinus ca. Ende 3. Jh. | Aklius cabinus ca. Ende 3. Jh. | Aelius fabinus ca. Ende 3. Jh. | Aelius Sabinus sa. Ende 3. Jh. | Aelius Sabincs ca. Ende 3. Jh. | Aelius Sabinus ca. Ende 3. Jh.,1,A2883 | Aelius Sabinus | Aelius Sabinus ca. Ende 3. Jh. | Aelius Sabinus ca. Ende 3. lh. | Awlius Sabinus ca. Ende 3. Jh. | Aklius cabinus ca. Ende 3. Jh. | Aelius fabinus ca. Ende 3. Jh. | Aelius Sabinus sa. Ende 3. Jh. | Aelius Sabincs ca. Ende 3. Jh. | Aelius Sabinus ca. Ende 3. Jh. | 1
A2884,Regianus,Regianus Poeta 5. bzw. 5./6. Jh. | Regianus Poeta 5. bzw. 5./6. Jh. n. Chr | Regianus Poeta 5. bzw. 5./6. Jh. | Regianus Poeta 5. bzw. 5./6. Jv. | Regianus Poeta 5. hzw. 5./6. Jh. | Regianus Poeta 5. bzw. 5./6. Jh. n. Chr | Regianus Poeta 5. bzw. 5./6. Js. | Reghanus Poeta 5. bzw. 5./6. Jh.,1,A2884 | Regianus | Regianus Poeta 5. bzw. 5./6. Jh. | Regianus Poeta 5. bzw. 5./6. Jh. n. Chr | Regianus Poeta 5. bzw. 5./6. Jh. | Regianus Poeta 5. bzw. 5./6. Jv. | Regianus Poeta 5. hzw. 5./6. Jh. | Regianus Poeta 5. bzw. 5./6. Jh. n. Chr | Regianus Poeta 5. bzw. 5./6. Js. | Reghanus Poeta 5. bzw. 5./6. Jh. | 1
A2885,"Curius, Manlius, active circa 58 B.C.","Curius | Curius, Manlius v58 | Curius, Manlius, active circa 58 B.C. | Curius, Manlius, active circa 58 B.C. | curious | during | Curius | Curius, Manlius v58",1,"A2885 | Curius, Manlius, active circa 58 B.C. | Curius | Curius, Manlius v58 | Curius, Manlius, active circa 58 B.C. | Curius, Manlius, active circa 58 B.C. | curious | during | Curius | Curius, Manlius v58 | 1"
A2886,"Vatinius, Publius, active 59 B.C.-47 B.C.","P. Vatinius P.f. | Publius Vatinius | Vatinius | Vatinius, Publius ca. v45/44 | Vatinius, Publius fl. 59-47 B.C. | Publius Vatinius | Vatinius | Vatinius, Publius ca. v45/44 | Vatinius, Publius fl. 59-47 B.C. | P. Vatinius P.f.",1,"A2886 | Vatinius, Publius, active 59 B.C.-47 B.C. | P. Vatinius P.f. | Publius Vatinius | Vatinius | Vatinius, Publius ca. v45/44 | Vatinius, Publius fl. 59-47 B.C. | Publius Vatinius | Vatinius | Vatinius, Publius ca. v45/44 | Vatinius, Publius fl. 59-47 B.C. | P. Vatinius P.f. | 1"
A2887,Javolenus Priscus,"Gaius Octavius Tidius Tossianus Lucius Iavolenus Priscus | Iavolenus Priscus | Iavolenus Priscus, Gaius Octavius Tidius Tossanius Lucius ca. 60 v. Chr.-12 | Iavolenus Priscus | Iavolenus Pmisuus | Iavolenus Priscus, Gaius Octavius Tidius Tossanius Lucius ca. 60 v. Chr.-12 | Gaius Octavius Tidius Tossianus Lucius Iavolenus Priscus | Iaxolengs Priscus",1,"A2887 | Javolenus Priscus | Gaius Octavius Tidius Tossianus Lucius Iavolenus Priscus | Iavolenus Priscus | Iavolenus Priscus, Gaius Octavius Tidius Tossanius Lucius ca. 60 v. Chr.-12 | Iavolenus Priscus | Iavolenus Pmisuus | Iavolenus Priscus, Gaius Octavius Tidius Tossanius Lucius ca. 60 v. Chr.-12 | Gaius Octavius Tidius Tossianus Lucius Iavolenus Priscus | Iaxolengs Priscus | 1"
A2888,"Brutus Albinus, Decimus Iunius, circa 85 B.C.- circa 43 B.C.","Brutus Albinus, Decimus Iunius v85-v43 | Brutus Albinus, Decimus Iunius, circa 85 B.C.- circa 43 B.C. | Decimus Iunius Albinus | Decimus Iunius Brutus Albinus | Decimus Iunius Albinus | Brutus Albinus, Decimus Iunius, circa 85 B.C.- circa 43 B.C. | Brutus Albinus, Decimus Iunius v85-v43 | Decimus Iunius Brutus Albinus",1,"A2888 | Brutus Albinus, Decimus Iunius, circa 85 B.C.- circa 43 B.C. | Brutus Albinus, Decimus Iunius v85-v43 | Brutus Albinus, Decimus Iunius, circa 85 B.C.- circa 43 B.C. | Decimus Iunius Albinus | Decimus Iunius Brutus Albinus | Decimus Iunius Albinus | Brutus Albinus, Decimus Iunius, circa 85 B.C.- circa 43 B.C. | Brutus Albinus, Decimus Iunius v85-v43 | Decimus Iunius Brutus Albinus | 1"
A2889,"Proculus Iurisconsultus, active 20-50 A.D.","Proculus Iuriscolnsultus | Proculus Iurisconsultus | Proculus Iurisconsultus v20-50 | Proculus Iurisconsultus, active 20-50 A.D. | Proculus Iurisconsultus, active 20-50 A.D. | Proculus Iurisconsultus | Proculus Iuriscolnsultus | Proculus Iurisconsultus v20-50",1,"A2889 | Proculus Iurisconsultus, active 20-50 A.D. | Proculus Iuriscolnsultus | Proculus Iurisconsultus | Proculus Iurisconsultus v20-50 | Proculus Iurisconsultus, active 20-50 A.D. | Proculus Iurisconsultus, active 20-50 A.D. | Proculus Iurisconsultus | Proculus Iuriscolnsultus | Proculus Iurisconsultus v20-50 | 1"
