URL,Name,Variants,Latin
 http://viaf.org/viaf/27455561,Lycus Rheginus 3. Jh. v. Chr,"Lycus Rheginus 3. Jh. v. Chr, Licos de Rhègion, Lycus 3. Jh. v. Chr Rheginus, Lycus Rheginus v3. Jh.",0
 https://viaf.org/viaf/100905484,"Nicephorus Saint, Patriarch of Constantinople","Nicéphore Ier, 0758?-0828, patriarche de Constantinople, Nicephorus Constantinopolitanus, Nicephorus, Constantinopolitanus, Patriarch van Constantinopel, ca. 758-ca. 828, Nicéphore 1 0758?-0828? patriarche de Constantinople, Πατριάρχης Νικηφόρος, Nicefor (święty ; 758-828)., Nicèfor, de Constantinoble, sant, aproximadament 758-829, Nikeforos I, helgon, patriark av Konstantinopel, ca 750-828, Nicefor (św. ; ca 758-828), Nicephorus 1 helgen, patriark av Konstantinopel, Nicephorus Saint, Patriarch of Constantinople, Nicephorus патриарх Константинопольский ок.758-828, Nikefor, svatý, asi 758-828, Nikifor, Patriarkh konstantinopolʹskiĭ, Nikēphorós 758-829 šventasis Konstantinopolio patriarchas, Nicephorus, Chartophylax",0
 https://viaf.org/viaf/10236001,"Clitophon Rhodius, 1./2. Jh. v. Chr.","Clitofó, Clitophon Rhodius v1./2. Jh.",0
 https://viaf.org/viaf/312800491,"Demetrius, of Phaleron, b. ca. 350 B.C.","Démétrios de Phalère 0350?-0283? av. J.-C., Δημήτριος ο Φαληρεύς, Demetrius, of Phaleron, approximately 350 B.C.-, Demetrios från Faleron, ca 350-ca 283 f.Kr., Démétrios z Faléru, 350 př. Kr.-asi 283 př. Kr., Dēmetrijs, no Falēras, dz. ap 350 g.p.m.ē., Demetrius, of Phaleron, b. ca. 350 B.C., Demetriusz Falerejski, Demetrius, of Phaleron, 350 B.C. -, Demetrio de Falera, fl. 348-282 a.C., Demetrios Phalereus, 350B. C. ?-",0
 https://viaf.org/viaf/34843722,"Echembrotus Lyricus, 6. Jh. v. Chr","Equembrot, Echembrotus Lyricus 6. Jh. v. Chr, Echembrotus Lyricus v6. Jh.",0
 https://viaf.org/viaf/39767137,"Samus, Macedonius, 3 Jh. v Chr.","Samus Macedonius 3. Jh. v. Chr, Σάμος, Samus Macedonius v3. Jh.",0
 https://viaf.org/viaf/42230362,Heraclitus Halicarnassensis 3. Jh. v. Chr.,"Ἡράκλειτος, Heraclitus Halicarnassensis ca. 3. Jh. v. Chr, Heraclitus ca. v3. Jh Halicarnassensis, Heraclitus Halicarnassensis ca. v3. Jh., Heraclitus, Halicarnassensis",0
hhttps://viaf.org/viaf/32386182,Crates Atheniensis 1. Jh. v. Chr.,Error: No connection adapters were found for 'hhttps://viaf.org/viaf/32386182',0
hthttps://viaf.org/viaf/136146462556227771543/,Hymn to Artemis (Homeric hymn 9),Error: No connection adapters were found for 'hthttps://viaf.org/viaf/136146462556227771543/',0
http://viaf.org/viaf/10199751,Claudius Apollinarius 2. Jh.,"Ἀπολλινάριος Κλαύδιος, Claudius Apollinarius, 0100?-0200?, saint, Claudius Apollinarius 2. Jh., Apollinarius, Claudius, 2e eeuw na Chr.",0
http://viaf.org/viaf/102329138/,"Proclus, Saint, Patriarch of Constantinople, approximately 390-approximately 446","Proclus, 0390?-0446?, saint, Proclus ca 390-ca 446 helgon, patriark av Konstantinopel, Proclus saint 0390?-0446?, Πρόκλος Κωνσταντινουπόλεως, Proclus, Constantinopolitanus, -446, Proclus Constantinopolitanus, 390-446, Proclus, Saint, Patriarch of Constantinople, approximately 390-approximately 446, Proclus (święty ; około 390-446)., Proclus, helgon, patriark av Konstantinopel, ca 390-ca 446, Proclus helgen, patriark av Konstantinopel, ܦܪܘܩܠܘܣ ܕܩܘܣܛܢܛܝܢܘܦܘܠܝܣ d. 446/447",0
http://viaf.org/viaf/10236254/,Glaucias Tarentinus v2. Jh.,"Glàucies (metge), Glaucias Tarentinus v2. Jh.",0
http://viaf.org/viaf/10236296,Hierophilus Sophista 4. bzw. 6. Jh.,"Hierophilus Sophista 4. bzw. 6. Jh., Hierophilos",0
http://viaf.org/viaf/10236352/,Iustus Medicus 2. Jh.,Iustus Medicus 2. Jh.,0
http://viaf.org/viaf/10236443/,Mnaseas Medicus 1. Jh,Mnaseas Medicus 1. Jh.,0
http://viaf.org/viaf/10236600/,Philinus Cous v3. Jh.,"فيلينوس الكوسي طبيب إغريقي, Philinus Cous v3. Jh.",0
http://viaf.org/viaf/10236628,Philoxenus Medicus v2./1. Jh.,"Philoxenus Alexandrinus, Claudius, Claudi Filoxen metge de l'antiga Grècia, Philoxenus Medicus v2./1. Jh.",0
http://viaf.org/viaf/106970843/,"Maximus, Confessor, Saint, approximately 580-662
","Maxime de Chrysopolis, 0580-0662, saint, Maximus Confessor, Heiliger 580-662, Maximus, Confessor, Saint, approximately 580-662, Maxime de Chrysopolis saint 0580-0662, Maksim, Maximus Confessor helgen ca. 580-662, Maksym Wyznawca (święty ; około 580-662)., Maximus Confessor, s., 580-662, Maximus, Confessor, saint, Máximo, el Confesor, Santo ca. 580-662, Maximus Confessor, helgon, 580-662, Maksym Wyznawca (święty ; 580-662), Μάξιμος ο Ομολογητής, Maximus, Confessor, Saint, ca. 580-662, Maxime le Confesseur, saint, environ 580-662, Μάξιμος ο Ομολογητής apie 580-662, Maximus 580-662, ܡܟܣܝܡܘܣ d. 662, Maximus Confessor, sanctus, Maximus the Confessor, Saint, Maximus Chrysopolitanus, s., 580-662",0
http://viaf.org/viaf/11298390/,"Theodorus, of Gadara, active 33 B.C.","Θεόδωρος, Théodore de Gadara, 0099?-0001? av. J.-C., Theodorus, van Gadara, Theodorus Gadarensis",0
http://viaf.org/viaf/1181145857144222922988,Basilides Gnosticus 2. Jht.,Basilides Gnosticus 2. Jht.,0
http://viaf.org/viaf/1205148523891420970000,Bible.O.T. Song of Salomon.,"Bible. Song of Solomon, Bible. Cantique des cantiques, الكتاب المقدس. سفر نشيد الأنشاد, תנ""ך. שיר השירים, Библия. Песнь песней, Bible. Song of Songs",0
