DLL ID,Authorized Name,Variant Names,Latin
A5349,"Celsus, Aulus Cornelius",A. Cornelius Celsus,1
A4246,"Augustinus, de Dacia, -1285",Aage von Dänemark,1
A4448,"Svend Aagesen, approximately 1130-","Aagesen, Svend, n. c. 1130",1
A6040,"Almeloveen, Theodoor Jansson ab, 1657-1712","Ab Almeloveen, Theodoor Jansson, 1657-1712",1
A5015,"Abelard, Peter","Abaelard, Peter 1079-1142",1
A5015,"Abelard, Peter","Abaelard, Petrus 1079-1142",1
A5015,"Abelard, Peter","Abaelardus, Petrus",1
A5015,"Abelard, Peter","Abaelardus, Petrus, 1079-1142",1
A5015,"Abelard, Peter","Abailard, P. 1079-1142 Pierre",1
A5015,"Abelard, Peter","Abailard, Pierre, 1079-1142",1
A5397,"Abbo, Monk of St. Germain, approximately 850-approximately 923",Abbo (około 850-około 923).,1
A5397,"Abbo, Monk of St. Germain, approximately 850-approximately 923",Abbo de Sancto Germano 850-923,1
A5397,"Abbo, Monk of St. Germain, approximately 850-approximately 923","Abbo de Sancto Germano, ca 850-ca 923",1
A4767,"Abbo, of Fleury, Saint",Abbo Floriacensis,1
A4767,"Abbo, of Fleury, Saint","Abbo Floriacensis helgen, abbed i Fleury",1
A4767,"Abbo, of Fleury, Saint",Abbo Floriacensis аббат ок.945-1004,1
A4767,"Abbo, of Fleury, Saint","Abbo Floriacensis, helgon, ca 945-1004",1
A4767,"Abbo, of Fleury, Saint","Abbo Floriacensis, s., c. 945-1004",1
A3060,Abbo Metensis ca. 627 - 643,Abbo Metensis,1
A3060,Abbo Metensis ca. 627 - 643,Abbo Metensis ca. 627 - 643,1
A3060,Abbo Metensis ca. 627 - 643,Abbo Metensis ca. 627 – 643,1
A3060,Abbo Metensis ca. 627 - 643,Abbo Metensis ca. ca. 627 - 643,1
A4767,"Abbo, of Fleury, Saint","Abbo of Fleury, Saint",1
A5397,"Abbo, Monk of St. Germain, approximately 850-approximately 923",Abbo of Saint-Germain,1
A5397,"Abbo, Monk of St. Germain, approximately 850-approximately 923","Abbo Saint-Germain-des-Prés'st, u.850-923.",1
A5397,"Abbo, Monk of St. Germain, approximately 850-approximately 923",Abbo Sangermanus apie 850-apie 923,1
A5397,"Abbo, Monk of St. Germain, approximately 850-approximately 923","Abbo Sangermanus, asi 850-asi 923",1
A4767,"Abbo, of Fleury, Saint",Abbo z Fleury (święty ; ok. 940-1004),1
A4767,"Abbo, of Fleury, Saint","Abbo, Floriacensis",1
A4767,"Abbo, of Fleury, Saint","Abbo, Floriacensis, ca. 945-1004",1
A5397,"Abbo, Monk of St. Germain, approximately 850-approximately 923","Abbo, Moine de Saint-Germain",1
A5397,"Abbo, Monk of St. Germain, approximately 850-approximately 923","Abbo, Monk of St. Germain, approximately 850-approximately 923",1
A5397,"Abbo, Monk of St. Germain, approximately 850-approximately 923","Abbo, Monk of St. Germain, ca. 850-ca. 923",1
A4767,"Abbo, of Fleury, Saint","Abbo, of Fleury, Saint",1
A5397,"Abbo, Monk of St. Germain, approximately 850-approximately 923","Abbo, of Saint-Germain-des-Prés, ca. 850-ca. 923",1
A5397,"Abbo, Monk of St. Germain, approximately 850-approximately 923",Abbon (ok. 850-ok. 923),1
A5397,"Abbo, Monk of St. Germain, approximately 850-approximately 923",Abbon ca 850-ca 923,1
A4767,"Abbo, of Fleury, Saint",Abbon de Fleury prélat catholique,1
A4767,"Abbo, of Fleury, Saint",Abbon de Fleury saint 0940?-1004,1
A4767,"Abbo, of Fleury, Saint","Abbon de Fleury, 0940?-1004, saint",1
A4767,"Abbo, of Fleury, Saint",Abbon z Fleury (święty ; około 940-1004).,1
A5397,"Abbo, Monk of St. Germain, approximately 850-approximately 923","Abbon, 0850?-0923?",1
A5397,"Abbo, Monk of St. Germain, approximately 850-approximately 923","Abbon, moine de Saint-Germain-des-Prés",1
A5015,"Abelard, Peter","Abelard, Pere, 1079-1142",1
A5015,"Abelard, Peter","Abelard, Peter (French theologian, philosopher, 1079-1142)",1
A5015,"Abelard, Peter","Abelard, Peter, 1079-1142",1
A5015,"Abelard, Peter","Abélard, Pierre",1
A5015,"Abelard, Peter","Abélard, Pierre, 1079-1142.",1
A5015,"Abelard, Peter","Abelardo, Pedro, 1079-1142",1
A5015,"Abelard, Peter","Abelardo, Pietro, 1079-1142",1
A3156,"Abercius, Saint, Bishop of Hierapolis, -approximately 200","Abercius Saint, Bishop of Hierapolis",1
A3156,"Abercius, Saint, Bishop of Hierapolis, -approximately 200","Abercius, Saint, Bishop of Hierapolis, d. ca. 200",1
A3156,"Abercius, Saint, Bishop of Hierapolis, -approximately 200","Abercius, saint, évêque d'Hierapolis",1
A3156,"Abercius, Saint, Bishop of Hierapolis, -approximately 200","Abercius, saint, évêque d'Hiérapolis, -environ 200",1
A3156,"Abercius, Saint, Bishop of Hierapolis, -approximately 200","Abercius, svatý, činný 2. století",1
A3156,"Abercius, Saint, Bishop of Hierapolis, -approximately 200","Aberkios Hierapolis, Bischof, Heiliger ca. 2. Jh.",1
A3711,Ablabius,Ablabius Constantini Magni Familiaris -338,1
A4034,"Cowley, Abraham, 1618-1667",Abraham Cowley,1
A4034,"Cowley, Abraham, 1618-1667",Abraham Cowley British writer,1
A6088,"Valpy, Abraham John, 1787-1854","Abraham John Valpy English printer, publisher (1787-1854)",1
A3690,Arbonius Silo,Abronius Silo,1
A5701,"Avicenna, 980-1037",Abū `Alī al-Ḥusayn ibn `Abd Allāh ibn Sīnā (Ibn Sīnā),1
A2491,"Anaritius, -approximately 922",Abū al-ʿAbbās al-Faḍl ibn Ḥātim Nayrīzī,1
A5671,"Rāzī, Abū Bakr Muḥammad ibn Zakarīyā, 865?-925?","Abu-Bakr Muhammad ibn Zakariya al-Razi, 864-930 d.C.",1
A2491,"Anaritius, -approximately 922",Abū'l-'Abbās al Fadl ibn Hātim al-Nayrīzī (865-około 922).,1
A5671,"Rāzī, Abū Bakr Muḥammad ibn Zakarīyā, 865?-925?","Abubetrus Rhaza Maomethus, 865?-925?",1
A4190,"Achard, de Saint-Victor, -approximately 1171","Acard, de Sant Víctor, m. 1171",1
A4664,"Accius, Lucius","Accius, L., 170-ca. 85 v. Chr.",1
A4664,"Accius, Lucius","Accius, Lucius (170-około 85 p.n.e.).",1
A4664,"Accius, Lucius","Accius, Lucius ca. v170 - v85",1
A4664,"Accius, Lucius","Accius, Lucius, 0170-0086 av. J.-C.?",1
A4664,"Accius, Lucius","Accius, Lucius, 170 e.Kr.-?",1
A4664,"Accius, Lucius","Accius, Lucius, 170-c. 85 a.C.",1
A4664,"Accius, Lucius","Accius, Lucius, asi 170 př. Kr.-asi 85 př. Kr.",1
A4733,"Morena, Acerbo",Acerbo Morena cronista italiano,1
A4733,"Morena, Acerbo",Acerbus Morena,1
A4733,"Morena, Acerbo",Acerbus Morena -1167,1
A6081,"Achaintre, Nicolas-Louis, 1771-1836","Achaintre, Nicolas Louis (1771-1830?)",1
A4190,"Achard, de Saint-Victor, -approximately 1171",Achard de Saint-Victor 11..-1171,1
A4190,"Achard, de Saint-Victor, -approximately 1171","Achard de Saint-Victor, 1100?-1171?",1
A4190,"Achard, de Saint-Victor, -approximately 1171",Achard von Sankt Viktor 11XX-1172,1
A4190,"Achard, de Saint-Victor, -approximately 1171",Achard ze św. Wiktora (?-1171),1
A4190,"Achard, de Saint-Victor, -approximately 1171","Achard, Bishop of Avranches",1
A4190,"Achard, de Saint-Victor, -approximately 1171","Achard, de Saint-Victor, -1171",1
A4696,"Achardus, of Arroasia",Achardus‏ ‎Arroasiensis,1
A4696,"Achardus, of Arroasia",Achardus de Arroasia,1
A4696,"Achardus, of Arroasia",Achardus de Arroasia ca. 12. Jh.,1
A4190,"Achard, de Saint-Victor, -approximately 1171",Achardus de S. Victore,1
A4190,"Achard, de Saint-Victor, -approximately 1171","Achardus de Sancto Victore, b., vesc. d'Avranches, m. 1172",1
A4190,"Achard, de Saint-Victor, -approximately 1171",Achardus Sancti Victoris,1
A4190,"Achard, de Saint-Victor, -approximately 1171","Achardus, de Sancto Victore",1
A4696,"Achardus, of Arroasia","Achardus, of Arroasia",1
A4510,"Achilles, of Spoleto","Achilles, of Spoleto",1
A4510,"Achilles, of Spoleto",Achilleus episcopus Spoletanus,1
A4510,"Achilles, of Spoleto",Achilleus Spoletanus,1
A4510,"Achilles, of Spoleto",Achilleus Spoletanus 419,1
A3041,"Acilius Glabrio, Manius, approximately 55-95","Acilius Glabrio, Marcus -95",1
A5598,"Acosta, José de, 1540-1600","Acosta, José de",1
A5598,"Acosta, José de, 1540-1600","Acosta, José de, 1539-1600",1
A5598,"Acosta, José de, 1540-1600","Acosta, Jose de, 1540-1600",1
A5598,"Acosta, José de, 1540-1600","Acosta, José de, 1540-1600",1
A5598,"Acosta, José de, 1540-1600","Acosta, José de, 1540-1600",1
A5598,"Acosta, José de, 1540-1600","Acosta, José de, 1540-1600.",1
A5598,"Acosta, José de, 1540-1600","Acosta, José de, ca 1539-1600, S.J.",1
A5598,"Acosta, José de, 1540-1600","Acosta, José de, S.I., 1540-1600",1
A3146,"Helenius Acro, active 2nd century","Acro, Helenius",1
A3146,"Helenius Acro, active 2nd century","Acro, Helenius ca. 2. Jh.",1
A3146,"Helenius Acro, active 2nd century","Acro, Helenius, 01..-02..",1
A3146,"Helenius Acro, active 2nd century","Acro, Helenius, činný 2. století",1
A3146,"Helenius Acro, active 2nd century","Acron, Helenius",1
A3146,"Helenius Acro, active 2nd century","Acron, Helenius, 100-talet",1
A3831,"Acton, John, -1350","Acton, Jean",1
A3831,"Acton, John, -1350","Acton, Jean d', 12..-1350",1
A3831,"Acton, John, -1350","Acton, John, d. 1350",1
A3831,"Acton, John, -1350","Acton, John, m. 1350",1
A4372,"Marsh, Adam, -1259","Ada, de Marisco",1
A5429,"Adelboldus, Bishop of Utrecht",Adalbald II. Bischof von Utrecht,1
A5429,"Adelboldus, Bishop of Utrecht",Adalbaldus‏ Traiectensis,1
A5418,"Adalbéron, Bishop of Laon","Adalbero Laon, Bischof 947-1030",1
A5418,"Adalbéron, Bishop of Laon",Adalbero Laudunensis biskop av Laon,1
A5418,"Adalbéron, Bishop of Laon","Adalbero Laudunensis, 947-1030",1
A5418,"Adalbéron, Bishop of Laon","Adalbero Laudunensis, vesc. di Laon, c. 947-1030",1
A5418,"Adalbéron, Bishop of Laon","Adalbero, évêque de Laon",1
A5418,"Adalbéron, Bishop of Laon",Adalbéron -1030 Bishop of Laon,1
A5418,"Adalbéron, Bishop of Laon",Adalbéron de Laon (947?-1030).,1
A5418,"Adalbéron, Bishop of Laon",Adalbéron de Laon 09..-1030,1
A5418,"Adalbéron, Bishop of Laon","Adalbéron de Laon, 0947?-1030",1
A5418,"Adalbéron, Bishop of Laon",Adalberon of Laon,1
A5418,"Adalbéron, Bishop of Laon","Adalbéron, Bishop of Laon",1
A5418,"Adalbéron, Bishop of Laon","Adalbéron, Bishop of Laon, -1030",1
A5418,"Adalbéron, Bishop of Laon","Adalbéron, de Laon, -1030",1
A5422,"Adalbert, of Fleury",Adalbert of Fleury,1
A5425,"Adalbert, of Samaria",Adalbert of Samaria,1
A3346,"Hamman, A.-G. (Adalbert-G.), 1910-2000",Adalbert-Gautier Hamman,1
A5422,"Adalbert, of Fleury","Adalbert, of Fleury",1
A5425,"Adalbert, of Samaria","Adalbert, of Samaria",1
A5425,"Adalbert, of Samaria",Adalbertus Samaritanus,1
A5425,"Adalbert, of Samaria",Adalbertus Samaritanus ca. 11./12. Jh.,1
