Name,Label
A. Cornelius Celsus,1
A.Licinius Archias,1
"aaecilius, Balbus",0
Aage von Dänemark,0
"Aagesen, Svend, n. c. 1130",0
aambertus Pultariensis ca. 9. Jh.,0
aavagius Landor,0
"Ab Almeloveen, Theodoor Jansson, 1657-1712",0
"Abaelard, Peter 1079-1142",0
"Abaelard, Petrus 1079-1142",0
"Abaelardus, Petrus",0
"Abaelardus, Petrus, 1079-1142",0
"Abailard, P. 1079-1142 Pierre",0
"Abailard, Pierre, 1079-1142",0
Abaris Scythicus v6./5. Jh.,1
Abascantus,1
Abascantus Lugdunensis ca. 1. Jh.,1
Abbo (około 850-około 923).,0
Abbo de Sancto Germano 850-923,0
"Abbo de Sancto Germano, ca 850-ca 923",0
Abbo Floriacensis,0
"Abbo Floriacensis helgen, abbed i Fleury",0
Abbo Floriacensis аббат ок.945-1004,0
"Abbo Floriacensis, helgon, ca 945-1004",0
"Abbo Floriacensis, s., c. 945-1004",0
Abbo Metensis,0
Abbo Metensis ca. 627 - 643,0
Abbo Metensis ca. 627 – 643,0
Abbo Metensis ca. ca. 627 - 643,0
"Abbo of Fleury, Saint",0
Abbo of Saint-Germain,0
"Abbo Saint-Germain-des-Prés'st, u.850-923.",0
Abbo Sangermanus apie 850-apie 923,0
"Abbo Sangermanus, asi 850-asi 923",0
Abbo z Fleury (święty ; ok. 940-1004),0
"Abbo, Floriacensis",0
"Abbo, Floriacensis, ca. 945-1004",0
"Abbo, Moine de Saint-Germain",0
"Abbo, Monk of St. Germain, approximately 850-approximately 923",0
"Abbo, Monk of St. Germain, ca. 850-ca. 923",0
"Abbo, of Fleury, Saint",0
"Abbo, of Saint-Germain-des-Prés, ca. 850-ca. 923",0
Abbon (ok. 850-ok. 923),0
Abbon ca 850-ca 923,0
Abbon de Fleury prélat catholique,0
Abbon de Fleury saint 0940?-1004,0
"Abbon de Fleury, 0940?-1004, saint",0
Abbon z Fleury (święty ; około 940-1004).,0
"Abbon, 0850?-0923?",0
"Abbon, moine de Saint-Germain-des-Prés",0
"Abelard, Pere, 1079-1142",0
"Abelard, Peter (French theologian, philosopher, 1079-1142)",0
"Abelard, Peter, 1079-1142",0
"Abélard, Pierre",0
"Abélard, Pierre, 1079-1142.",0
"Abelardo, Pedro, 1079-1142",0
"Abelardo, Pietro, 1079-1142",0
"Abercius Saint, Bishop of Hierapolis",0
"Abercius, Saint, Bishop of Hierapolis, d. ca. 200",0
"Abercius, saint, évêque d'Hierapolis",0
"Abercius, saint, évêque d'Hiérapolis, -environ 200",0
"Abercius, svatý, činný 2. století",0
"Aberkios Hierapolis, Bischof, Heiliger ca. 2. Jh.",0
Abitus Prevbyter,0
Ablabius Constanjini Magni Familiaris -338,0
Ablabius Constantini Magni Familiaris -338,0
Ablabius Constantini Magni gamiliaris -338,0
Abraham Cowley,0
Abraham Cowley British writer,0
"Abraham John Valpy English printer, publisher (1787-1854)",0
Abramius,1
Abronius Silo,0
Abū `Alī al-Ḥusayn ibn `Abd Allāh ibn Sīnā (Ibn Sīnā),0
Abū al-ʿAbbās al-Faḍl ibn Ḥātim Nayrīzī,0
Abū'l-'Abbās al Fadl ibn Hātim al-Nayrīzī (865-około 922).,0
Abydenus,1
Abydenus Historicus 2. Jh.,1
Acacius,1
Acacius Medicus ca. 1. Jh.,1
Acacius Sabaita,1
"Acard, de Sant Víctor, m. 1171",0
"Accius, L., 170-ca. 85 v. Chr.",0
"Accius, Lucius (170-około 85 p.n.e.).",0
"Accius, Lucius ca. v170 - v85",0
"Accius, Lucius, 0170-0086 av. J.-C.?",0
"Accius, Lucius, 170 e.Kr.-?",0
"Accius, Lucius, 170-c. 85 a.C.",0
"Accius, Lucius, asi 170 př. Kr.-asi 85 př. Kr.",0
Accoqdus,0
"Acdlius Glabrio, Marcus -95",0
Aceratus Epigrammaticus 1. Jh.,1
Aceratus Gramm. A.D. 1,1
Acerbo Morena cronista italiano,0
Acerbus Morena,0
Acerbus Morena -1167,0
Acesander,1
Acesander Historicus v4./2. Jh.,1
Acesandre,1
Acestodor historiador grec,1
Acestodorus Megalopolitanus 3. Jh. v. Chr,1
Acestodorus Megalopolitanus v3. Jh.,1
"Acestodorus, Megalopolitanus",1
Achaeus,1
Achaeus Eretriensis ca. 484 - ca. 401 v. Chr,1
Achaeus Eretriensis v484-v401,1
Achaeus z Eretrii (około 484 p.n.e. - około 401 p.n.e.).,1
"Achaintre, Nicolas Louis (1771-1830?)",0
Achard de Saint-Victor 11..-1171,0
"Achard de Saint-Victor, 1100?-1171?",0
Achard von Sankt Viktor 11XX-1172,0
Achard ze św. Wiktora (?-1171),0
"Achard, Bishop of Avranches",0
"Achard, de Saint-Victor, -1171",0
Achardus‏ ‎Arroasiensis,0
Achardus de Arroasia,0
Achardus de Arroasia ca. 12. Jh.,0
Achardus de S. Victore,0
"Achardus de Sancto Victore, b., vesc. d'Avranches, m. 1172",0
Achardus Sancti Victoris,0
"Achardus, de Sancto Victore",0
"Achardus, of Arroasia",0
Achillas Medicus v1. Jh. / 1. Jh.,1
Achille Tatius,1
"Achille Tatius, 02..?-03..?",1
Achilleis Byzantina,1
Achilles Tatius,1
Achilles Tatius Astronomus ca. 3. Jh.,1
Achilles Tatius Scriptor Eroticus ca. 2./3. Jh.,1
"Achilles Tatius, 2e eeuw",1
"Achilles Tatius, sec. II",1
"Achilles, of Spoleto",0
"Achilles, Tatius, astronomicus, 3e eeuw",1
Achilleus episcopus Spoletanus,0
Achilleus Spoletanus,0
Achilleus Spoletanus 419,0
Achilleus Tatios,1
"Achilleus Tatios (astronom), 200-talet",1
Achilleus Tatios 200-talet (astronom),1
"Achilleus Tatios, 100-talet",1
"Achilleus Tatios, činný 2. století-3. století",1
Achilleus Tatius.,1
Achmet,1
"Acilcus Glabrio, Marcus -95",0
"Acilius Glabrio, Marcfs -95",0
"Acilius Glabrio, Marcup -95",0
"Acilius Glabrio, Marcus -95",0
"Acilius Glabrko, oarcus -95",0
"Acilius, Gaius um 155 v. Chr",1
"Acosta, José de",0
"Acosta, José de, 1539-1600",0
"Acosta, Jose de, 1540-1600",0
"Acosta, José de, 1540-1600",0
"Acosta, José de, 1540-1600",0
