author,dll_author_id
A. Cornelius Celsus,A5349
Aage von Dänemark,A4246
"Aagesen, Svend, n. c. 1130",A4448
"Ab Almeloveen, Theodoor Jansson, 1657-1712",A6040
"Abaelard, Peter 1079-1142",A5015
"Abaelard, Petrus 1079-1142",A5015
"Abaelardus, Petrus",A5015
"Abaelardus, Petrus, 1079-1142",A5015
"Abailard, P. 1079-1142 Pierre",A5015
"Abailard, Pierre, 1079-1142",A5015
Abbo (około 850-około 923).,A5397
Abbo de Sancto Germano 850-923,A5397
"Abbo de Sancto Germano, ca 850-ca 923",A5397
Abbo Floriacensis,A4767
"Abbo Floriacensis helgen, abbed i Fleury",A4767
Abbo Floriacensis аббат ок.945-1004,A4767
"Abbo Floriacensis, helgon, ca 945-1004",A4767
"Abbo Floriacensis, s., c. 945-1004",A4767
Abbo Metensis,A3060
Abbo Metensis ca. 627 - 643,A3060
Abbo Metensis ca. 627 – 643,A3060
Abbo Metensis ca. ca. 627 - 643,A3060
"Abbo of Fleury, Saint",A4767
Abbo of Saint-Germain,A5397
"Abbo Saint-Germain-des-Prés'st, u.850-923.",A5397
Abbo Sangermanus apie 850-apie 923,A5397
"Abbo Sangermanus, asi 850-asi 923",A5397
Abbo z Fleury (święty ; ok. 940-1004),A4767
"Abbo, Floriacensis",A4767
"Abbo, Floriacensis, ca. 945-1004",A4767
"Abbo, Moine de Saint-Germain",A5397
"Abbo, Monk of St. Germain, approximately 850-approximately 923",A5397
"Abbo, Monk of St. Germain, ca. 850-ca. 923",A5397
"Abbo, of Fleury, Saint",A4767
"Abbo, of Saint-Germain-des-Prés, ca. 850-ca. 923",A5397
Abbon (ok. 850-ok. 923),A5397
Abbon ca 850-ca 923,A5397
Abbon de Fleury prélat catholique,A4767
Abbon de Fleury saint 0940?-1004,A4767
"Abbon de Fleury, 0940?-1004, saint",A4767
Abbon z Fleury (święty ; około 940-1004).,A4767
"Abbon, 0850?-0923?",A5397
"Abbon, moine de Saint-Germain-des-Prés",A5397
"Abelard, Pere, 1079-1142",A5015
"Abelard, Peter (French theologian, philosopher, 1079-1142)",A5015
"Abelard, Peter, 1079-1142",A5015
"Abélard, Pierre",A5015
"Abélard, Pierre, 1079-1142.",A5015
"Abelardo, Pedro, 1079-1142",A5015
"Abelardo, Pietro, 1079-1142",A5015
"Abercius Saint, Bishop of Hierapolis",A3156
"Abercius, Saint, Bishop of Hierapolis, d. ca. 200",A3156
"Abercius, saint, évêque d'Hierapolis",A3156
"Abercius, saint, évêque d'Hiérapolis, -environ 200",A3156
"Abercius, svatý, činný 2. století",A3156
"Aberkios Hierapolis, Bischof, Heiliger ca. 2. Jh.",A3156
Ablabius Constantini Magni Familiaris -338,A3711
Abraham Cowley,A4034
Abraham Cowley British writer,A4034
"Abraham John Valpy English printer, publisher (1787-1854)",A6088
Abronius Silo,A3690
Abū `Alī al-Ḥusayn ibn `Abd Allāh ibn Sīnā (Ibn Sīnā),A5701
Abū al-ʿAbbās al-Faḍl ibn Ḥātim Nayrīzī,A2491
"Abu-Bakr Muhammad ibn Zakariya al-Razi, 864-930 d.C.",A5671
Abū'l-'Abbās al Fadl ibn Hātim al-Nayrīzī (865-około 922).,A2491
"Abubetrus Rhaza Maomethus, 865?-925?",A5671
"Acard, de Sant Víctor, m. 1171",A4190
"Accius, L., 170-ca. 85 v. Chr.",A4664
"Accius, Lucius (170-około 85 p.n.e.).",A4664
"Accius, Lucius ca. v170 - v85",A4664
"Accius, Lucius, 0170-0086 av. J.-C.?",A4664
"Accius, Lucius, 170 e.Kr.-?",A4664
"Accius, Lucius, 170-c. 85 a.C.",A4664
"Accius, Lucius, asi 170 př. Kr.-asi 85 př. Kr.",A4664
Acerbo Morena cronista italiano,A4733
Acerbus Morena,A4733
Acerbus Morena -1167,A4733
"Achaintre, Nicolas Louis (1771-1830?)",A6081
Achard de Saint-Victor 11..-1171,A4190
"Achard de Saint-Victor, 1100?-1171?",A4190
Achard von Sankt Viktor 11XX-1172,A4190
Achard ze św. Wiktora (?-1171),A4190
"Achard, Bishop of Avranches",A4190
"Achard, de Saint-Victor, -1171",A4190
Achardus‏ ‎Arroasiensis,A4696
Achardus de Arroasia,A4696
Achardus de Arroasia ca. 12. Jh.,A4696
Achardus de S. Victore,A4190
"Achardus de Sancto Victore, b., vesc. d'Avranches, m. 1172",A4190
Achardus Sancti Victoris,A4190
"Achardus, de Sancto Victore",A4190
"Achardus, of Arroasia",A4696
"Achilles, of Spoleto",A4510
Achilleus episcopus Spoletanus,A4510
Achilleus Spoletanus,A4510
Achilleus Spoletanus 419,A4510
"Acilius Glabrio, Marcus -95",A3041
"Acosta, José de",A5598
"Acosta, José de, 1539-1600",A5598
"Acosta, Jose de, 1540-1600",A5598
"Acosta, José de, 1540-1600",A5598
"Acosta, José de, 1540-1600",A5598
"Acosta, José de, 1540-1600.",A5598
"Acosta, José de, ca 1539-1600, S.J.",A5598
"Acosta, José de, S.I., 1540-1600",A5598
"Acro, Helenius",A3146
"Acro, Helenius ca. 2. Jh.",A3146
"Acro, Helenius, 01..-02..",A3146
"Acro, Helenius, činný 2. století",A3146
"Acron, Helenius",A3146
"Acron, Helenius, 100-talet",A3146
