DLL Identifier,Authorized Name,Short Name,Author Name English,Author Name Latin,Author Name Native Language,BNE URL,BNF URL,DNB URL,ICCU URL,ISNI URL,Other Alternative Name Form(s),Perseus Name,Wikidata URL
A5558,"Albert, of Aachen, active 11th-12th century",,Albert of Aix-la-Chapelle/Albert of Aachen,Albertus Aquensis,Albert d'Aix-la-Chapelle,,,,,,,,
A5552,"Marullo Tarcaniota, Michele",,Michael Marullus,Michael Tarchaniota Marullus,Michele Marullo,"Marullo Tarcaniota, Michele 1453-1500",Marullo Michele 1453-1500,"Marullus, Michael Tarchaniota 1453-1500",,Marullus 1453-1500,,"Marullo Tarcaniota, Michele d. 1500",
A5553,"Corvinus, Laurentius",,Laurence Corvin,Laurentius Corvinus,Laurentius Rabe,"Corvinus, Laurentius ca. 1465-1527",,"Corvinus, Laurentius 1465-1527",,"Korwin, Wawrzyniec",,"Corvinus, Laurentius",
A5261,Claudianus Mamertus,,,Claudianus Ecdidius Mamertus,,,,,,,,"Claudianus Mamertus, d. ca. 474",
A5260,"Sedulius, active 5th century",,Sedulius,Coelius Sedulius,Caius Coelius Sedulius,"Sedulio, Celio",Sedulius Caius Coelius 04..-04..,Sedulius Caelius ca. 5. Jh.,,"Sedulio, Celio",,"Sedulius, 5th cent.",
A5262,"Council of Paris (573 : Paris, France)",,Concilium Parisiense,Concilium Parisiense,,,,,,,,,
A5266,"Fredegis, of Tours",,,Fredegisus Turonensis,,,,,,,,,
A4617,Granius Licinianus,,,Granius Licinianus,,,Granius Licinianus,Granius Licinianus ca. 2. Jh.,,Granius Licinianus 0099-0001 av. J.-C.,,,
A4586,"Memmius, C., approximately 98 B.C.-approximately 46 B.C.",,,Gaius Memmius L. f.,Gaius Memmius,,,,,,,"Memmius, C., ca. 98-ca. 46 B.C.",
A4317,"Higden, Ranulf, -1364",,Ranulf Higdon,Ranulphus Castrensis,,,Higden Ranulf 1280?-1364,"Higden, Ranulfus ?-1364",,"Higden, Ranulf m. 1364",,,
A3952,"Crab, Gilbert, -1552",,Gilbert Crab,Gilbertus Crab,,,Crab Gilbert 1482?-1552,"Crab, Gilbert -1552",,"Crab, Gilbertus fl.ca.1515",,,
A3948,"Du Bellay, Jean, 1498?-1560",,,,Jean Du Bellay,,Du Bellay Jean 1492?-1560,"Du Bellay, Jean 1492-1560",,"Du Bellay, Jean 1492?-1560",,,
A3949,"Des Freux, André, -1556",,,Andreas Frusius,André des Freux,,Des Freux André 15..-1556,"Des Freux, André -1556",,"Des Freux, André m. 1556 S.I.",,,
A3930,"Hessus, Helius Eobanus, 1488-1540",,,,Helius Eobanus Hessus,,Hessus Helius Eobanus 1488-1540,"Hessus, Helius Eobanus 1488-1540",,"Eobanus, Helius",,,
A3937,"Clement, of Alexandria, Saint",,Saint Clement of Alexandria,Clemens Alexandrinus,,Clemente de Alejandría,Clément d'Alexandrie 0150?-021.?,Clemens Alexandrinus ca. 150-215,,Clemens ca150-ca215 Alexandrinus,,,
A3921,"Benvenutus, de Imola, -1387 or 1388",,,Benevenutus Imolensis,Benvenuto Rambaldi da Imola,Benvenuto de Imola,Benevenutus de Rambaldis 1338?-1390,Benevenutus Imolensis 1338-1390,,Benevenutus de Rambaldis 1338?-1390,,,
A3934,"Johnson, Christopher, -1597",,Christopher Johnson,,,,,,"Johnson , Christopher","Johnson, Christopher -1597",,,
A3922,"Henry, of Marlborough, active 1420",,Henry of Marlborough,,Henry of Marleburg,,,,,Henry,,,
A3628,"Sinnius Capito, active 1st century B.C.-1st century A.D.",,,Sinnius Capito,,,,,,,,"Sinnius Capito, 1st cent. B.C./1st cent. A.D.",
A3625,"Augurinus, Sentius",,,Sentius Augurinus,,,,,,,,"Augurinus, Sentius",
A3626,"Alfenus Varus, P. (Publius), active 39 B.C.",,,Publius Alfenus Varus,,,,,,,,"Alfenus Varus, P. (Publius), fl. 39 B. C.",
A3319,"Muczkowski, Antoni, 1807-1852",,,,,,,,,,,,
A3320,"Haase, Friedrich, 1808-1867",,,Fridericus Haasius,,,,,,,,,
A3321,"Jacob, Émile, 1867-1953",,,,,,,,,,,,
A3322,"Didot, François, 1689-1757",,,,,,,,,,,,
A1870,"Stratford, John, -1348",,John Stratford,Johannes Stratford,,,John Stratford 1275?-1348,"Stratford, Johannes ca. 1275-1348",,"Stratford, John ca 1275-1348",,,
A1868,"Herryson, Joannes",,John Herryson,Joannes Herryson,,,,,,"Herryson, Joannes",,,
A2181,"Nicomachus, of Gerasa",,,,,,,,,,,,
A557,"Peter, of Pisa",,Peter of Pisa,Petrus Pisanus,Pietro da Pisa,,,Petrus Pisanus ca. 8. Jh.,,Pierre de Pise 7..-799,,,
A910,"Calpurnius Siculus, Titus",Calpurnius Siculus,,Titus Calpurnius Siculus,,"Calpurnio Sículo, Tito Julio",Calpurnius Siculus,"Calpurnius Siculus, Titus ca. 54",,"Calpurnius Siculus, Titus århundradet e.Kr",,Calpurnius Siculus,
A907,"Cincius, L. (Lucius)",,,Lucius Cincius,Lucius Cincius,,,,,,,"Cincius, L. (Lucius)",
A555,"Philastrius, Saint, Bishop of Brescia",,Saint Philastrius,Filastrius Brixiensis,Philastrius Brixiensis,,,,,,,"Philastrius, Saint, Bishop of Brescia, active 383-391",
A2877,"Mauricianus, Iunius, active 2nd century A.D.",,,Iunius Mauricianus,,,,"Mauricianus, Iunius 2. Jh.",,,,,
A2875,"Metellus Celer, Q. Caecilius",,,Quintus Caecilius Metellus Celer,,,,,,,,,
A2874,"Metellus, Quintus Caecilius Nepos, -56",Nepos,,Quintus Caecilius Nepos Metellus,,,,"Metellus, Quintus Caecilius Nepos -v56",,,,,
A2872,"Lentulus Spinther, Publius Cornelius, born c. 43 B.C.",,,Publius Cornelius Lentulus Spinther,,,,"Lentulus Spinther, Publius Cornelius v43",,,,,
A2870,Salvius Julianus,,,Salvius Iulianus,,,,"Salvius Iulianus Aemilianus, Lucius Octavius ca. 2. Jh.",,,,,
A2868,"Aquilius Niger, Quintus",,,Quintus Aquilius Niger,,,,,,,,,
A2884,Regianus,,,Regianus,,,,Regianus Poeta 5. bzw. 5./6. Jh.,,,,,
A2882,"Servilius Nonianus, Marcus, 1st Century A.D.",,Nonianus,Marcus Servilius Nonianus,,,,"Servilius Nonianus, Marcus -59",,"Servilius Nonianus, Marcus 1. Jh. n. Chr",,,
A2880,"Valerianus, Cornelius",,"Valerianus, Cornelius",Cornelius Valerianus,,,,,,,,,
